plane,series,angle_deg,total_energy_ev,relative_energy_microev
111,SW+ED,0.0,122.04021611901778,0.0
111,SW+ED,15.0,122.04020320990227,-12.909115511661184
111,SW+ED,30.0,122.04020326405663,-12.854961155994715
111,SW+ED,45.0,122.04020334873648,-12.770281301754949
111,SW+ED,60.0,122.04007455631078,-141.56270700027562
111,SW+ED,75.0,122.04020333258123,-12.786436556666558
111,SW+ED,90.0,122.04006173506757,-154.38395021760698
111,SW+ED,105.0,122.04020333585031,-12.783167477437019
111,SW+ED,120.0,122.04021604937616,-0.06964162935219065
111,SW+ED,135.0,122.04020333614984,-12.782867941041332
111,SW+ED,150.0,122.04020326615114,-12.852866646539951
111,SW+ED,165.0,122.04020326215607,-12.856861715704326
111,SW+ED,180.0,122.040216099035,-0.019982778098892595
