strain_branch,strain_percent,source_directory,plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
tensile,0.0,0percent,103,strain,Wan90,0.0,-0.1503103,-0.142591,785.6037,-785.6037,-0.0877414098,-0.1876881045
tensile,0.0,0percent,103,strain,Wan90,15.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,Wan90,30.0,154.6576,-395.2141,716.5897,-832.5049058751,-8.761394526,21.7434100952
tensile,0.0,0percent,103,strain,Wan90,45.0,235.0961,-563.4505,590.3102,-847.955517495,-13.1308266478,44.8530506307
tensile,0.0,0percent,103,strain,Wan90,60.0,271.6038,-680.0561,422.8211,-844.5154134905,0.6505504946,42.6133674779
tensile,0.0,0percent,103,strain,Wan90,75.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,Wan90,90.0,284.0076,-765.8716,3.151054,-816.380684251,3.151054,27.2434015157
tensile,0.0,0percent,103,strain,Wan90,105.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,Wan90,120.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,Wan90,135.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,Wan90,150.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,Wan90,165.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,Wan90,180.0,nan,nan,nan,nan,nan,nan
tensile,0.0,0percent,103,strain,SW+ED,0.0,-0.149413,-0.146147,785.6033,-785.6033,-0.0913986788,-0.1879613569
tensile,0.0,0percent,103,strain,SW+ED,15.0,84.57556,-224.4406,780.8222,-816.2470205442,-29.4100373183,9.2610716538
tensile,0.0,0percent,103,strain,SW+ED,30.0,154.6583,-395.2149,716.5891,-832.5048764129,-8.7625434959,21.7438211913
tensile,0.0,0percent,103,strain,SW+ED,45.0,235.096,-563.4509,590.3096,-847.9553391984,-13.1314968793,44.8528292713
tensile,0.0,0percent,103,strain,SW+ED,60.0,271.6092,-680.0671,422.8223,-844.5265297636,0.6455181519,42.6150118623
tensile,0.0,0percent,103,strain,SW+ED,75.0,271.864,-742.547,238.1451,-825.116703821,25.4565950611,23.0988571687
tensile,0.0,0percent,103,strain,SW+ED,90.0,284.0084,-765.8722,3.151723,-816.3815064432,3.151723,27.2439707256
tensile,0.0,0percent,103,strain,SW+ED,105.0,274.3072,-744.3644,-238.0379,-827.5006286104,-24.7068427324,24.8419678605
tensile,0.0,0percent,103,strain,SW+ED,120.0,272.9046,-680.3883,-424.6039,-846.0359823924,-1.8312497496,43.7423638482
tensile,0.0,0percent,103,strain,SW+ED,135.0,240.2438,-563.059,-591.3106,-849.5513416477,13.3118715527,49.8603908145
tensile,0.0,0percent,103,strain,SW+ED,150.0,158.4016,-395.6972,-717.1864,-833.8427960621,9.8852883049,25.1425107294
