strain_branch,strain_percent,source_directory,plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
compressive,-0.2,m0.2percent,103,strain,SW+ED,45.0,259.6573,-562.7252,579.6128,-845.3968186636,-25.7005359785,68.3832108495
compressive,-0.2,m0.2percent,103,strain,SW+ED,60.0,280.4954,-678.5092,424.5639,-846.5509704004,1.487733263,51.5378526221
compressive,-0.2,m0.2percent,103,strain,SW+ED,75.0,274.2931,-739.3116,245.4193,-824.7765964495,33.0785325482,26.4264270822
compressive,-0.2,m0.2percent,103,strain,SW+ED,90.0,267.7447,-752.3684,2.502535,-798.4276434048,2.502535,16.0851466779
compressive,-0.2,m0.2percent,103,strain,SW+ED,105.0,277.3098,-740.7721,-243.7278,-826.5986032098,-30.839157649,28.8264693351
compressive,-0.2,m0.2percent,103,strain,SW+ED,120.0,282.6349,-679.6119,-424.4991,-848.0104571025,-0.5702736277,53.2188561807
compressive,-0.2,m0.2percent,103,strain,SW+ED,135.0,261.908,-561.9285,-581.3303,-846.5801037727,24.4549092942,70.7703510096
compressive,-0.2,m0.2percent,103,strain,SW+ED,150.0,181.7316,-396.0625,-696.605,-819.8808547117,26.8652965136,47.15977407
compressive,-0.2,m0.2percent,103,strain,SW+ED,165.0,92.74151,-225.6539,-754.1862,-791.4848791004,39.9100685821,16.624292883
compressive,-0.2,m0.2percent,103,strain,SW+ED,180.0,-0.3117649,-0.3350635,-765.7258,-765.7258,0.2192804284,-0.4017225356
compressive,-0.2,m0.2percent,103,strain,SW+PD,0.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,15.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,30.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,45.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,60.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,75.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,90.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,105.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,120.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,135.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,150.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,165.0,nan,nan,nan,nan,nan,nan
compressive,-0.2,m0.2percent,103,strain,SW+PD,180.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,0.0,nan,nan,nan,nan,nan,nan
compressive,-0.4,m0.4percent,103,strain,Wan90,15.0,nan,nan,nan,nan,nan,nan
