plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
103,rank_cumulative,w_rank1_2_3_4,165.0,94.72507,-269.2899,-755.4401,-803.5726653408,80.1776034078,4.7071483278
103,rank_cumulative,w_rank1_2_3_4,180.0,-0.1237194,0.1802327,-776.1463,-776.1463,-0.2101072617,-0.0603759443
103,rank_cumulative,w_rank1_2_3_4_5,0.0,-0.1957853,-0.02976903,796.9967,-796.9967,0.0336713665,-0.195152038
103,rank_cumulative,w_rank1_2_3_4_5,15.0,94.04845,-212.8692,786.3635,-819.5336109121,-20.2658204303,21.9070421527
103,rank_cumulative,w_rank1_2_3_4_5,30.0,159.4287,-391.307,719.5671,-833.9844868026,-5.3693038664,27.5052064832
103,rank_cumulative,w_rank1_2_3_4_5,45.0,247.0569,-561.6182,590.6798,-849.6622361413,-14.3148519614,56.7794859577
103,rank_cumulative,w_rank1_2_3_4_5,60.0,270.1259,-683.09,424.7779,-847.5816771075,1.1397603834,40.2519050124
103,rank_cumulative,w_rank1_2_3_4_5,75.0,271.2271,-748.9733,244.1847,-832.3741140646,29.7646318664,20.4624662834
103,rank_cumulative,w_rank1_2_3_4_5,90.0,268.1798,-767.9955,1.092148,-813.3904028728,1.092148,11.5561958585
103,rank_cumulative,w_rank1_2_3_4_5,105.0,274.04,-750.5705,-240.7859,-833.8172539337,-25.8592470219,22.6259385446
103,rank_cumulative,w_rank1_2_3_4_5,120.0,269.5968,-683.6627,-423.6982,-847.3674481679,-0.016715348,39.5688530378
103,rank_cumulative,w_rank1_2_3_4_5,135.0,250.3513,-561.1634,-591.7226,-850.8311682124,14.0090421297,60.0486486028
103,rank_cumulative,w_rank1_2_3_4_5,150.0,163.3272,-392.2006,-720.0884,-835.4762245161,6.9104693777,30.9210671889
103,rank_cumulative,w_rank1_2_3_4_5,165.0,91.52179,-213.369,-785.6281,-818.7391921754,20.1423767529,19.3519913734
103,rank_cumulative,w_rank1_2_3_4_5,180.0,0.1957853,0.02976892,-796.9967,-796.9967,0.0336714708,0.1951520032
103,rank_cumulative,w_rank1_2_3_4_5_6,0.0,-0.2348827,-0.1825776,796.322,-796.322,-0.0989318882,-0.2805654011
103,rank_cumulative,w_rank1_2_3_4_5_6,15.0,100.8711,-216.3627,785.4845,-820.1007517189,-25.7786139415,27.2748345556
103,rank_cumulative,w_rank1_2_3_4_5_6,30.0,152.6342,-390.0906,714.5595,-827.9964840306,-5.0129788295,21.4440372691
103,rank_cumulative,w_rank1_2_3_4_5_6,45.0,237.2048,-562.5304,586.5549,-845.1544172102,-15.6405225538,47.1445002689
103,rank_cumulative,w_rank1_2_3_4_5_6,60.0,261.4685,-681.0248,420.7956,-841.5228655342,0.0394529222,32.6918478103
103,rank_cumulative,w_rank1_2_3_4_5_6,75.0,262.4187,-747.1064,238.6056,-826.5288401587,25.5549589509,12.6964499372
103,rank_cumulative,w_rank1_2_3_4_5_6,90.0,270.8234,-766.0581,-0.0824925,-812.3884035734,-0.0824925,14.6767946992
103,rank_cumulative,w_rank1_2_3_4_5_6,105.0,268.9987,-750.0137,-236.1006,-830.5545030732,-21.882918992,18.0194170543
103,rank_cumulative,w_rank1_2_3_4_5_6,120.0,263.6545,-681.914,-420.7566,-842.8325786367,0.7617436111,34.4844797703
103,rank_cumulative,w_rank1_2_3_4_5_6,135.0,240.5727,-562.7447,-587.0526,-846.4031863996,16.1854376532,50.2718031381
103,rank_cumulative,w_rank1_2_3_4_5_6,150.0,157.2717,-390.6335,-715.4716,-829.7771590151,6.2729983744,25.6718760097
103,rank_cumulative,w_rank1_2_3_4_5_6,165.0,99.2198,-216.6391,-784.3235,-818.9120264284,25.8279902982,25.620868471
103,rank_cumulative,w_rank1_2_3_4_5_6,180.0,0.2348827,0.1825775,-796.322,-796.322,-0.0989317934,0.2805653694
103,rank_cumulative,w_rank1_2_3_4_5_6_7,0.0,-0.2386723,-0.2029594,792.2386,-792.2386,-0.1170693847,-0.2906058224
103,rank_cumulative,w_rank1_2_3_4_5_6_7,15.0,88.30826,-214.1993,782.0123,-815.1874533651,-20.8574854683,16.0408052205
103,rank_cumulative,w_rank1_2_3_4_5_6_7,30.0,156.7682,-390.3505,714.3025,-828.5508396888,-6.4871509949,25.2837064269
103,rank_cumulative,w_rank1_2_3_4_5_6_7,45.0,243.532,-559.6892,586.9139,-844.917138574,-14.8955412487,54.0454755611
103,rank_cumulative,w_rank1_2_3_4_5_6_7,60.0,268.0287,-680.873,419.7035,-842.6486838687,-1.8715870542,38.963403357
103,rank_cumulative,w_rank1_2_3_4_5_6_7,75.0,265.0049,-745.5068,234.7957,-824.8669211308,22.0559700926,15.6557726172
103,rank_cumulative,w_rank1_2_3_4_5_6_7,90.0,274.3888,-763.9246,-1.448343,-811.491866234,-1.448343,18.7339020688
103,rank_cumulative,w_rank1_2_3_4_5_6_7,105.0,270.6005,-746.9028,-236.6529,-828.3360255879,-23.0491412771,20.5227709184
103,rank_cumulative,w_rank1_2_3_4_5_6_7,120.0,266.7144,-680.9852,-418.5988,-841.8285796965,2.6736973744,37.681068143
103,rank_cumulative,w_rank1_2_3_4_5_6_7,135.0,247.2433,-558.6433,-588.0089,-845.8196813586,14.2495201825,57.8970665056
103,rank_cumulative,w_rank1_2_3_4_5_6_7,150.0,161.0138,-390.9054,-714.8809,-829.9862492651,7.8165533107,29.1359614497
103,rank_cumulative,w_rank1_2_3_4_5_6_7,165.0,86.94049,-213.7912,-781.0121,-814.0091843926,20.3246018439,14.8722772173
103,rank_cumulative,w_rank1_2_3_4_5_6_7,180.0,0.2386724,0.2029594,-792.2386,-792.2386,-0.1170693531,0.2906059172
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,0.0,-0.2453571,-1.272461,792.6209,-792.6209,-1.1295737705,-0.6351536822
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,15.0,89.26147,-213.6017,782.6698,-815.7538327071,-20.4308570261,17.13407734
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,30.0,157.3073,-390.1287,714.38,-828.5979868742,-6.4138123154,25.8652809114
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,45.0,240.6224,-559.7713,587.1457,-844.4855139415,-14.1361019124,51.2592243375
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,60.0,267.1961,-681.064,419.5903,-842.5209894808,-1.9285747659,38.1131301397
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,75.0,265.8233,-745.9375,236.7569,-826.019174683,23.7776083288,16.2959757295
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,90.0,273.2911,-763.8138,-0.2146555,-811.0396289058,-0.2146555,17.727570449
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,105.0,267.8086,-747.211,-232.9846,-826.8162281079,-19.6586661719,17.7766806211
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,120.0,265.237,-680.6134,-418.7372,-841.1877121729,2.1438817826,36.3970569219
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,135.0,245.8966,-558.9194,-587.6601,-845.4571247494,14.3802412639,56.5321642219
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,150.0,161.3206,-390.3751,-715.1823,-830.0442352846,7.3141880426,29.5947130699
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,165.0,89.49245,-214.4352,-781.7386,-815.0779226573,21.5062068963,17.0896283652
103,rank_cumulative,w_rank1_2_3_4_5_6_7_8,180.0,0.2453569,1.272461,-792.6209,-792.6209,-1.1295738338,0.6351534925
103,rank_cumulative,w_rankNone,0.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,15.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,30.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,45.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,60.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,75.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,90.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,105.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,120.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,135.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,150.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,165.0,nan,nan,nan,nan,nan,nan
103,rank_cumulative,w_rankNone,180.0,nan,nan,nan,nan,nan,nan
103,reference,SW+ED,0.0,-0.2453629,-1.272392,792.6208,-792.6208,-1.1295064772,-0.6351373648
103,reference,SW+ED,5.0,27.78652,-77.21045,791.8306,-795.967278498,-12.7103809716,1.9445193183
103,reference,SW+ED,10.0,75.017,-144.3894,794.0419,-809.8842757591,-20.3769130074,25.5074375713
103,reference,SW+ED,15.0,89.26137,-213.6016,782.6697,-815.7537033762,-20.4307607269,17.1340140945
103,reference,SW+ED,20.0,114.0695,-275.7169,761.8581,-817.7112968368,-19.1192586122,21.0264901269
103,reference,SW+ED,25.0,135.1535,-331.3005,742.7557,-824.0562820773,-9.6846865686,23.4514511278
103,reference,SW+ED,30.0,157.3076,-390.1289,714.3798,-828.5979559716,-6.4141587905,25.8655022708
103,reference,SW+ED,35.0,183.8066,-446.6792,680.1881,-833.5735452315,-4.5946337308,33.1218859493
103,reference,SW+ED,40.0,218.8026,-509.1817,632.9633,-839.8533827509,-16.1821988076,46.5569807024
103,reference,SW+ED,45.0,242.1178,-559.4974,587.146,-844.6363699731,-14.28653368,52.7645001265
103,reference,SW+ED,50.0,260.4165,-603.2365,538.1352,-847.3833241445,-8.5534220292,56.292653312
103,reference,SW+ED,55.0,274.6277,-643.3751,485.4603,-849.5647656155,-2.2340549888,57.0816415882
103,reference,SW+ED,60.0,267.1958,-681.0642,419.59,-842.5209216391,-1.9288820077,38.1127822892
103,reference,SW+ED,65.0,273.3029,-707.6231,363.4027,-840.3228194685,9.1215488308,35.5078244439
103,reference,SW+ED,70.0,272.1741,-730.1074,302.5752,-835.2345756413,17.993278179,27.3267907776
103,reference,SW+ED,75.0,265.8229,-745.9379,236.7566,-826.0193413993,23.7772530744,16.2954697651
