plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
103,single_rank,w_rank5,180,-0.2095559000,0.3701971000,3.3450200000,3.3450200000,-0.4174671999,-0.0817355804
103,single_rank,w_rankNone,0,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,15,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,30,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,45,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,60,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,75,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,90,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,105,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,120,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,135,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,150,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,165,nan,nan,nan,nan,nan,nan
103,single_rank,w_rankNone,180,nan,nan,nan,nan,nan,nan
103,reference,SW+ED,0,-0.2453629000,-1.2723920000,792.6208000000,-792.6208000000,-1.1295064772,-0.6351373648
103,reference,SW+ED,5,27.7865200000,-77.2104500000,791.8306000000,-795.9672784980,-12.7103809716,1.9445193183
103,reference,SW+ED,10,75.0170000000,-144.3894000000,794.0419000000,-809.8842757591,-20.3769130074,25.5074375713
103,reference,SW+ED,15,89.2613700000,-213.6016000000,782.6697000000,-815.7537033762,-20.4307607269,17.1340140945
103,reference,SW+ED,20,114.0695000000,-275.7169000000,761.8581000000,-817.7112968368,-19.1192586122,21.0264901269
103,reference,SW+ED,25,135.1535000000,-331.3005000000,742.7557000000,-824.0562820773,-9.6846865686,23.4514511278
103,reference,SW+ED,30,157.3076000000,-390.1289000000,714.3798000000,-828.5979559716,-6.4141587905,25.8655022708
103,reference,SW+ED,35,183.8066000000,-446.6792000000,680.1881000000,-833.5735452315,-4.5946337308,33.1218859493
103,reference,SW+ED,40,218.8026000000,-509.1817000000,632.9633000000,-839.8533827509,-16.1821988076,46.5569807024
103,reference,SW+ED,45,242.1178000000,-559.4974000000,587.1460000000,-844.6363699731,-14.2865336800,52.7645001265
103,reference,SW+ED,50,260.4165000000,-603.2365000000,538.1352000000,-847.3833241445,-8.5534220292,56.2926533120
103,reference,SW+ED,55,274.6277000000,-643.3751000000,485.4603000000,-849.5647656155,-2.2340549888,57.0816415882
103,reference,SW+ED,60,267.1958000000,-681.0642000000,419.5900000000,-842.5209216391,-1.9288820077,38.1127822892
103,reference,SW+ED,65,273.3029000000,-707.6231000000,363.4027000000,-840.3228194685,9.1215488308,35.5078244439
103,reference,SW+ED,70,272.1741000000,-730.1074000000,302.5752000000,-835.2345756413,17.9932781790,27.3267907776
103,reference,SW+ED,75,265.8229000000,-745.9379000000,236.7566000000,-826.0193413993,23.7772530744,16.2954697651
103,reference,SW+ED,80,261.7848000000,-760.0785000000,169.6595000000,-821.1060634639,27.4936182472,7.9929413911
103,reference,SW+ED,85,266.6457000000,-763.0566000000,95.6895400000,-813.4841984022,24.8844131797,11.6626381246
103,reference,SW+ED,90,273.2910000000,-763.8141000000,-0.2146270000,-811.0398818880,-0.2146270000,17.7273807124
103,reference,SW+ED,95,269.0047000000,-764.9512000000,-93.7311700000,-815.8471936468,-22.7118272286,13.3014568992
103,reference,SW+ED,100,265.6430000000,-761.1915000000,-166.3984000000,-822.7811570067,-23.8868463364,11.3011897880
103,reference,SW+ED,105,267.8082000000,-747.2114000000,-232.9842000000,-826.8163689423,-19.6582143250,17.7761746567
103,reference,SW+ED,110,273.4803000000,-731.3339000000,-301.8368000000,-836.4635631149,-16.7601744532,28.1781075465
103,reference,SW+ED,115,274.4698000000,-708.0940000000,-364.1547000000,-841.3799409535,-9.4583451818,36.4659313293
103,reference,SW+ED,120,265.2366000000,-680.6136000000,-418.7368000000,-841.1875669452,2.1442598156,36.3966142030
103,reference,SW+ED,125,274.9137000000,-641.5784000000,-487.0262000000,-849.1407699318,0.0255590864,57.9211314386
103,reference,SW+ED,130,264.2493000000,-602.5245000000,-538.5197000000,-848.0415164869,8.6037818782,60.1539208261
103,reference,SW+ED,135,245.8966000000,-558.9197000000,-587.6599000000,-845.4571845742,14.3805839313,56.5320693536
103,reference,SW+ED,140,223.6515000000,-508.7250000000,-633.4746000000,-840.9521875226,16.6962617491,51.3014723670
103,reference,SW+ED,145,188.7139000000,-446.8874000000,-681.1137000000,-835.3351327842,5.4967071287,37.7115208769
103,reference,SW+ED,150,161.3209000000,-390.3753000000,-715.1821000000,-830.0442043820,7.3145345178,29.5949344293
103,reference,SW+ED,155,138.2328000000,-330.9783000000,-743.5635000000,-825.0707464022,9.9487946951,26.4746201937
103,reference,SW+ED,160,114.2141000000,-274.7229000000,-760.2978000000,-815.9382118519,18.8097596588,21.4780001312
103,reference,SW+ED,165,89.4924600000,-214.4351000000,-781.7385000000,-815.0778023294,21.5061441970,17.0896694749
103,reference,SW+ED,170,69.7793900000,-146.5630000000,-792.0803000000,-808.0229398816,21.1171568652,19.8512517704
103,reference,SW+ED,175,27.7223100000,-73.0011700000,-792.2632000000,-796.0484258989,8.6743716580,3.2146955747
103,reference,SW+ED,180,0.2453429000,1.2724190000,-792.6208000000,-792.6208000000,-1.1295384162,0.6351269293
