plane,series_group,method,phi_deg,sigma_xy_s_cm,sigma_yz_s_cm,sigma_zx_s_cm,sigma_para_s_cm,sigma_perp_s_cm,sigma_axis_s_cm
111,fit_ahc_dft,DFT,0.0,-674.7551,378.0322,378.0322,-859.5972308941,0.0,46.9439462426
111,fit_ahc_dft,DFT,15.0,-657.2477,217.6603,483.7757,-843.6599824836,31.2480175164,25.5121269
111,fit_ahc_dft,DFT,30.0,-584.2239,1.22001e-05,584.2243,-826.2176456852,-0.000153338,0.0002379839
111,fit_ahc_dft,DFT,45.0,-483.7756,-217.6602,657.2477,-843.6599036161,-31.2479963839,-25.51201143
111,fit_ahc_dft,DFT,60.0,-377.954,-377.9543,674.7544,-859.5329317884,-0.000212132,-46.8542260108
111,fit_ahc_dft,DFT,75.0,-217.6602,-483.7757,657.2477,-843.6599613511,31.2479386489,-25.512069165
111,fit_ahc_dft,DFT,90.0,0.003720289,-584.3406,584.3307,-826.3754012081,-0.0070792613,-0.0035678578
111,fit_ahc_dft,DFT,105.0,217.6602,-657.2477,483.7757,-843.6599613511,-31.2479386489,25.512069165
111,fit_ahc_dft,DFT,120.0,377.9743,-674.7596,377.9738,-859.5534258526,-0.0003535534,46.8742023301
111,fit_ahc_dft,DFT,135.0,483.7756,-657.2477,217.6602,-843.6599036161,31.2479963839,25.51201143
111,fit_ahc_dft,DFT,150.0,584.2239,-584.2244,-1.09854e-05,-826.2177163959,0.0001951546,-0.0002950175
111,fit_ahc_dft,DFT,165.0,657.2478,-483.7755,-217.6603,-843.659945881,-31.248154119,-25.511953695
111,fit_ahc_dft,DFT,180.0,674.7597,-377.9746,-377.9735,-859.5535075022,0.0007778175,-46.8741445951
