cutoff_shell,series,curve_index,point_index,k_path_fraction,energy_ev,source_pdf
1,DFT,0,89,0.74239724,-3.53839995,band_1.pdf
1,DFT,0,90,0.74935947,-3.53739996,band_1.pdf
1,DFT,0,91,0.75632171,-3.52859998,band_1.pdf
1,DFT,0,92,0.76328395,-3.51189999,band_1.pdf
1,DFT,0,93,0.77720842,-3.45809997,band_1.pdf
1,DFT,0,94,0.79113290,-3.38910001,band_1.pdf
1,DFT,0,95,0.79809513,-3.46379998,band_1.pdf
1,DFT,0,96,0.81201961,-3.63589998,band_1.pdf
1,DFT,0,97,0.81898184,-3.71349997,band_1.pdf
1,DFT,0,98,0.82594408,-3.77920000,band_1.pdf
1,DFT,0,99,0.83290632,-3.82909996,band_1.pdf
1,DFT,0,100,0.83986855,-3.85979995,band_1.pdf
1,DFT,0,101,0.84683079,-3.86860000,band_1.pdf
1,DFT,0,102,0.85379303,-3.85329997,band_1.pdf
1,DFT,0,103,0.86075526,-3.81229995,band_1.pdf
1,DFT,0,104,0.86771750,-3.74449999,band_1.pdf
1,DFT,0,105,0.87467974,-3.64969996,band_1.pdf
1,DFT,0,106,0.88164197,-3.52930000,band_1.pdf
1,DFT,0,107,0.88860421,-3.55589997,band_1.pdf
1,DFT,0,108,0.90252868,-3.76889997,band_1.pdf
1,DFT,0,109,0.93733987,-4.34079998,band_1.pdf
1,DFT,0,110,0.95126434,-4.53819999,band_1.pdf
1,DFT,0,111,0.95822658,-4.62309998,band_1.pdf
1,DFT,0,112,0.96518881,-4.69709995,band_1.pdf
1,DFT,0,113,0.97215105,-4.75899999,band_1.pdf
1,DFT,0,114,0.97911329,-4.80809998,band_1.pdf
1,DFT,0,115,0.98607553,-4.84369996,band_1.pdf
1,DFT,0,116,0.99303776,-4.86519999,band_1.pdf
1,DFT,0,117,1.00000000,-4.87239998,band_1.pdf
1,DFT,1,0,0.00000000,-8.35509996,band_1.pdf
1,DFT,1,1,0.00804834,-8.33239998,band_1.pdf
1,DFT,1,2,0.01606884,-8.26459996,band_1.pdf
1,DFT,1,3,0.02411719,-8.15209995,band_1.pdf
1,DFT,1,4,0.03216554,-7.99589998,band_1.pdf
1,DFT,1,5,0.04018603,-7.79719995,band_1.pdf
1,DFT,1,6,0.04823438,-7.55779994,band_1.pdf
1,DFT,1,7,0.05628272,-7.27999994,band_1.pdf
1,DFT,1,8,0.06430322,-6.96649994,band_1.pdf
1,DFT,1,9,0.07235157,-6.62059996,band_1.pdf
1,DFT,1,10,0.08039991,-6.24689998,band_1.pdf
1,DFT,1,11,0.09646875,-5.43839996,band_1.pdf
1,DFT,1,12,0.11253760,-4.60179998,band_1.pdf
1,DFT,1,13,0.12058594,-4.20029996,band_1.pdf
1,DFT,1,14,0.12863429,-3.82809997,band_1.pdf
1,DFT,1,15,0.13665478,-3.49959999,band_1.pdf
1,DFT,1,16,0.14470313,-3.65889999,band_1.pdf
1,DFT,1,17,0.16079982,-3.99819999,band_1.pdf
1,DFT,1,18,0.16882032,-4.15329996,band_1.pdf
1,DFT,1,19,0.17686866,-4.29639996,band_1.pdf
1,DFT,1,20,0.18491701,-4.42609996,band_1.pdf
1,DFT,1,21,0.19293751,-4.54110000,band_1.pdf
1,DFT,1,22,0.20098585,-4.64029997,band_1.pdf
1,DFT,1,23,0.20903420,-4.72269999,band_1.pdf
1,DFT,1,24,0.21705470,-4.78700000,band_1.pdf
1,DFT,1,25,0.22510304,-4.83359996,band_1.pdf
1,DFT,1,26,0.23315139,-4.86239999,band_1.pdf
1,DFT,1,27,0.24117188,-4.87199994,band_1.pdf
1,DFT,1,28,0.24685307,-4.86719997,band_1.pdf
1,DFT,1,29,0.25256210,-4.85289999,band_1.pdf
1,DFT,1,30,0.25824329,-4.82859996,band_1.pdf
1,DFT,1,31,0.26392447,-4.79459997,band_1.pdf
1,DFT,1,32,0.26960566,-4.75079995,band_1.pdf
1,DFT,1,33,0.27528684,-4.69739998,band_1.pdf
1,DFT,1,34,0.28096803,-4.63419998,band_1.pdf
1,DFT,1,35,0.28664922,-4.56120000,band_1.pdf
1,DFT,1,36,0.29233040,-4.47859995,band_1.pdf
1,DFT,1,37,0.29801159,-4.38629995,band_1.pdf
1,DFT,1,38,0.30372062,-4.28429998,band_1.pdf
1,DFT,1,39,0.30940180,-4.17270000,band_1.pdf
1,DFT,1,40,0.32076417,-3.92089997,band_1.pdf
1,DFT,1,41,0.33212655,-3.63129996,band_1.pdf
1,DFT,1,42,0.34348892,-3.30520000,band_1.pdf
1,DFT,1,43,0.35487914,-2.94399999,band_1.pdf
1,DFT,1,44,0.36056032,-3.03920001,band_1.pdf
1,DFT,1,45,0.37192269,-3.25089999,band_1.pdf
1,DFT,1,46,0.37760388,-3.34550001,band_1.pdf
1,DFT,1,47,0.38328506,-3.42930000,band_1.pdf
1,DFT,1,48,0.38896625,-3.50019999,band_1.pdf
1,DFT,1,49,0.39467528,-3.55680001,band_1.pdf
1,DFT,1,50,0.40035647,-3.59799999,band_1.pdf
1,DFT,1,51,0.40603765,-3.62289996,band_1.pdf
1,DFT,1,52,0.41740002,-3.63879999,band_1.pdf
1,DFT,1,53,0.42308121,-3.66199996,band_1.pdf
1,DFT,1,54,0.42876239,-3.70289997,band_1.pdf
1,DFT,1,55,0.43444358,-3.76429996,band_1.pdf
1,DFT,1,56,0.44015261,-3.84969995,band_1.pdf
1,DFT,1,57,0.44583380,-3.96289998,band_1.pdf
1,DFT,1,58,0.45151498,-4.10620000,band_1.pdf
1,DFT,1,59,0.45719617,-4.28039998,band_1.pdf
1,DFT,1,60,0.46287735,-4.48379997,band_1.pdf
1,DFT,1,61,0.46855854,-4.71259999,band_1.pdf
1,DFT,1,62,0.47992091,-5.22439997,band_1.pdf
1,DFT,1,63,0.50835468,-6.56629995,band_1.pdf
1,DFT,1,64,0.51971705,-7.04569999,band_1.pdf
