plane,series,angle_deg,total_energy_ev,relative_energy_microev
103,w_rank1,0.0,122.26137934941887,0.0
103,w_rank1,5.0,122.26137942902574,0.07960686332353362
103,w_rank1,10.0,122.26137961132667,0.2619078003363029
103,w_rank1,15.0,122.26137988386051,0.5344416393882057
103,w_rank1,20.0,122.26138015781619,0.8083973170869285
103,w_rank1,25.0,122.26138045504185,1.1056229709538457
103,w_rank1,30.0,122.26138076678859,1.4173697167052524
103,w_rank1,35.0,122.26138101263693,1.663218057501581
103,w_rank1,40.0,122.26138118479919,1.8353803170612082
103,w_rank1,45.0,122.26138134120002,1.9917811471259483
103,w_rank1,50.0,122.26138130967952,1.9602606471380568
103,w_rank1,55.0,122.26138118655416,1.837135286564262
103,w_rank1,60.0,122.26138104099364,1.6915747664825176
103,w_rank1,65.0,122.26138079455701,1.4451381389335438
103,w_rank1,70.0,122.26138056734182,1.2179229429420957
103,w_rank1,75.0,122.2613803126498,0.963230931461112
103,w_rank1,80.0,122.2613800923728,0.7429539294889764
103,w_rank1,85.0,122.26137997462978,0.625210901716855
103,w_rank1,90.0,122.26137996650517,0.6170863002807891
103,w_rank1,95.0,122.26137997462978,0.625210901716855
103,w_rank1,100.0,122.26138009237295,0.7429540715975236
103,w_rank1,105.0,122.26138031264992,0.9632310451479498
103,w_rank1,110.0,122.26138056734199,1.2179231134723523
103,w_rank1,115.0,122.26138079455775,1.445138877897989
103,w_rank1,120.0,122.26138104102978,1.6916109046860583
103,w_rank1,125.0,122.26138118655399,1.8371351160340055
103,w_rank1,130.0,122.26138130967989,1.9602610166202794
103,w_rank1,135.0,122.26138134120029,1.991781417132188
103,w_rank1,140.0,122.26138118479942,1.8353805444348836
103,w_rank1,145.0,122.26138101263665,1.6632177732844866
103,w_rank1,150.0,122.26138076678869,1.4173698161812354
103,w_rank1,155.0,122.26138045504221,1.1056233404360682
103,w_rank1,160.0,122.26138015781629,0.8083974165629115
103,w_rank1,165.0,122.26137988386037,0.5344414972796585
103,w_rank1,170.0,122.26137961132659,0.2619077150711746
103,w_rank1,175.0,122.26137942902555,0.07960667858242232
103,w_rank1,180.0,122.26137934940212,-1.6754597709223162e-05
103,w_rank1,185.0,122.26137942902572,0.0796068491126789
103,w_rank1,190.0,122.26137961132667,0.2619078003363029
103,w_rank1,195.0,122.26137988386051,0.5344416393882057
103,w_rank1,200.0,122.26138015781619,0.8083973170869285
103,w_rank1,205.0,122.26138045504185,1.1056229709538457
103,w_rank1,210.0,122.26138076678859,1.4173697167052524
103,w_rank1,215.0,122.26138101263693,1.663218057501581
103,w_rank1,220.0,122.26138118479919,1.8353803170612082
103,w_rank1,225.0,122.26138134119996,1.9917810902825295
103,w_rank1,230.0,122.26138130967955,1.9602606755597662
103,w_rank1,235.0,122.26138118655416,1.837135286564262
103,w_rank1,240.0,122.26138104102955,1.691610677312383
103,w_rank1,245.0,122.26138079455701,1.4451381389335438
103,w_rank1,250.0,122.26138056734182,1.2179229429420957
103,w_rank1,255.0,122.2613803126498,0.963230931461112
103,w_rank1,260.0,122.26138009237279,0.7429539152781217
103,w_rank1,265.0,122.26137997462978,0.625210901716855
103,w_rank1,270.0,122.26137996650517,0.6170863002807891
